fold,seed,detector,k,auroc,coverage,cov_gap
4,1,SAFE-MLP,15,0.7080986240650107,0.7912087912087912,-0.008791208791208871
4,1,SAFE-MLP,20,0.7463293009511497,0.7252747252747253,-0.07472527472527479
4,1,H&S,5,0.7199187367254594,0.5604395604395604,-0.2395604395604396
4,1,H&S,8,0.7219503185889741,0.5164835164835164,-0.2835164835164836
4,1,H&S,10,0.7205651491365777,0.5824175824175823,-0.2175824175824177
4,1,H&S,15,0.7816049496721765,0.7472527472527473,-0.05274725274725278
4,1,H&S,20,0.7726475205466802,0.6153846153846154,-0.18461538461538463
4,1,SAFE-Embed,5,0.7828054298642534,0.978021978021978,0.17802197802197794
4,1,SAFE-Embed,8,0.8122633668852156,0.8571428571428572,0.05714285714285716
4,1,SAFE-Embed,10,0.8059839320343523,0.9120879120879121,0.11208791208791202
4,1,SAFE-Embed,15,0.8011820112660448,0.9340659340659341,0.13406593406593403
4,1,SAFE-Embed,20,0.8088466155693046,0.9340659340659341,0.13406593406593403
5,0,SAFE-MLP,5,0.6281743466617417,0.8241758241758241,0.02417582417582409
5,0,SAFE-MLP,8,0.60227167790193,0.8901098901098901,0.09010989010989001
5,0,SAFE-MLP,10,0.6212946717148398,0.8571428571428572,0.05714285714285716
5,0,SAFE-MLP,15,0.6747622125773386,0.8241758241758241,0.02417582417582409
5,0,SAFE-MLP,20,0.6744851786868593,0.7032967032967032,-0.0967032967032968
5,0,H&S,5,0.6975713362267985,0.5934065934065934,-0.20659340659340664
5,0,H&S,8,0.7041278049681411,0.7252747252747253,-0.07472527472527479
5,0,H&S,10,0.6952627204728045,0.7032967032967032,-0.0967032967032968
5,0,H&S,15,0.717794810231785,0.5824175824175823,-0.2175824175824177
5,0,H&S,20,0.713269923353957,0.6043956043956045,-0.19560439560439558
5,0,SAFE-Embed,5,0.7476221257733863,0.989010989010989,0.189010989010989
5,0,SAFE-Embed,8,0.7635977467910241,0.945054945054945,0.14505494505494498
5,0,SAFE-Embed,10,0.7546403176655277,0.978021978021978,0.17802197802197794
5,0,SAFE-Embed,15,0.7476221257733863,0.9560439560439561,0.15604395604395604
5,0,SAFE-Embed,20,0.756025487117924,0.9560439560439561,0.15604395604395604
5,1,SAFE-MLP,5,0.5560993628220519,0.7032967032967032,-0.0967032967032968
5,1,SAFE-MLP,8,0.5695816788253764,0.6923076923076923,-0.10769230769230775
5,1,SAFE-MLP,10,0.5842644750207775,0.5274725274725275,-0.27252747252747256
5,1,SAFE-MLP,15,0.6466894450087728,0.7472527472527473,-0.05274725274725278
5,1,SAFE-MLP,20,0.6770708283313326,0.7912087912087912,-0.008791208791208871
5,1,H&S,5,0.706067042201496,0.5934065934065934,-0.20659340659340664
5,1,H&S,8,0.7153015052174716,0.4945054945054945,-0.3054945054945055
5,1,H&S,10,0.7293378890017546,0.5604395604395604,-0.2395604395604396
5,1,H&S,15,0.7534398374734509,0.46153846153846156,-0.3384615384615385
5,1,H&S,20,0.7420814479638009,0.6813186813186813,-0.1186813186813187
5,1,SAFE-Embed,5,0.728783821220796,0.945054945054945,0.14505494505494498
5,1,SAFE-Embed,8,0.7468833687321083,0.9120879120879121,0.11208791208791202
5,1,SAFE-Embed,10,0.743558962046357,0.9340659340659341,0.13406593406593403
5,1,SAFE-Embed,15,0.7554714193369656,0.9120879120879121,0.11208791208791202
5,1,SAFE-Embed,20,0.7627666451195863,0.945054945054945,0.14505494505494498
