fold,seed,detector,alpha,method,order,coverage,nominal,cov_gap,tpr,tnr,bal_acc,det_time,n_detected
0,0,SAFE-Embed [task-rel],0.25,split CP (SAFE),blocked,0.9021739130434783,0.75,0.15217391304347827,0.3853211009174312,0.9021739130434783,0.6437475069804548,0.5004761904761905,42
0,0,SAFE-Embed [task-rel],0.25,ACI g=0.05 (grow cal),blocked,0.7391304347826086,0.75,-0.010869565217391353,0.47706422018348627,0.7391304347826086,0.6080973274830475,0.3607692307692307,52
0,0,hand:cum_mean_token_entropy,0.1,split CP (SAFE),exch,0.875,0.9,-0.025000000000000022,0.18032786885245902,0.875,0.5276639344262295,0.07818181818181819,11
0,0,hand:cum_mean_token_entropy,0.1,ACI g=0.05 (grow cal),exch,0.875,0.9,-0.025000000000000022,0.13114754098360656,0.875,0.5030737704918032,0.11499999999999999,8
0,0,hand:cum_mean_token_entropy,0.1,split CP (SAFE),blocked,0.9021739130434783,0.9,0.0021739130434782483,0.11009174311926606,0.9021739130434783,0.5061328280813722,0.10333333333333333,12
0,0,hand:cum_mean_token_entropy,0.1,ACI g=0.05 (grow cal),blocked,0.8913043478260869,0.9,-0.008695652173913104,0.11926605504587157,0.8913043478260869,0.5052852014359792,0.12000000000000002,13
0,0,hand:cum_mean_token_entropy,0.15,split CP (SAFE),exch,0.875,0.85,0.025000000000000022,0.19672131147540983,0.875,0.5358606557377049,0.2566666666666667,12
0,0,hand:cum_mean_token_entropy,0.15,ACI g=0.05 (grow cal),exch,0.875,0.85,0.025000000000000022,0.19672131147540983,0.875,0.5358606557377049,0.265,12
0,0,hand:cum_mean_token_entropy,0.15,split CP (SAFE),blocked,0.9130434782608696,0.85,0.06304347826086965,0.11926605504587157,0.9130434782608696,0.5161547666533706,0.25538461538461543,13
0,0,hand:cum_mean_token_entropy,0.15,ACI g=0.05 (grow cal),blocked,0.8478260869565217,0.85,-0.0021739130434782483,0.22018348623853212,0.8478260869565217,0.5340047865975269,0.12416666666666669,24
0,0,hand:cum_mean_token_entropy,0.2,split CP (SAFE),exch,0.75,0.8,-0.050000000000000044,0.22950819672131148,0.75,0.48975409836065575,0.20285714285714287,14
0,0,hand:cum_mean_token_entropy,0.2,ACI g=0.05 (grow cal),exch,0.8125,0.8,0.012499999999999956,0.19672131147540983,0.8125,0.5046106557377049,0.22166666666666668,12
0,0,hand:cum_mean_token_entropy,0.2,split CP (SAFE),blocked,0.8913043478260869,0.8,0.09130434782608687,0.1651376146788991,0.8913043478260869,0.528220981252493,0.19333333333333336,18
