fold,seed,arm,split,auroc,ap,bal_acc_05,bal_acc_cal,auroc_half,post_pre,mean_peak_fail,mean_peak_succ
4,1,B SAFE-LSTM as-run,val_seen,0.7494939271255061,0.7973796683014688,0.655195681511471,0.7187921727395412,0.7098515519568152,2.2650461196899414,0.8023895621299744,0.5269767045974731
4,1,B SAFE-LSTM as-run,val_unseen,0.6776710684273709,0.7223201457606582,0.5895281189398837,0.6192630898513252,0.6196324683719642,1.4855594635009766,0.8932196497917175,0.7562413215637207
4,1,C intra-contrastive,val_seen,0.8960863697705803,0.9114186092214733,0.7781713900134952,0.8328272604588394,0.7456140350877193,32.03289794921875,0.5896337032318115,0.06841965764760971
4,1,C intra-contrastive,val_unseen,0.8260227167790193,0.8508481349415276,0.7957336780866193,0.6150614091790563,0.631083202511774,26.782020568847656,0.6800379157066345,0.22652892768383026
4,1,D H&S inter+intra,val_seen,0.9082321187584346,0.9252276497617391,0.8211875843454791,0.8152834008097165,0.7088394062078273,2.609691858291626,0.6329231858253479,0.3254472017288208
4,1,D H&S inter+intra,val_unseen,0.8350724905346754,0.8723363927820507,0.7934712346477053,0.6997414350355526,0.6525995013389971,1.7563661336898804,0.6036869287490845,0.4308653175830841
5,0,A SAFE-LSTM faithful,val_seen,0.7404040404040404,0.797703061555058,0.631986531986532,0.6981481481481482,0.7069023569023569,3.8084304332733154,0.7599132061004639,0.5222618579864502
5,0,A SAFE-LSTM faithful,val_unseen,0.6830732292917167,0.7464332373253583,0.5400775694893342,0.5814479638009049,0.5987625819558593,1.648390293121338,0.9010908007621765,0.8108250498771667
5,0,B SAFE-LSTM as-run,val_seen,0.7242424242424242,0.7681839910231945,0.6227272727272728,0.689057239057239,0.6993265993265994,3.445720911026001,0.7706713676452637,0.5243783593177795
5,0,B SAFE-LSTM as-run,val_unseen,0.6565241481207867,0.711382473184333,0.5416936005171299,0.5892049127343245,0.5982546864899806,1.4643667936325073,0.9044317603111267,0.815674901008606
5,0,C intra-contrastive,val_seen,0.8973063973063973,0.9243820389099826,0.8538720538720539,0.7981481481481482,0.7666666666666667,108.32626342773438,0.7230011820793152,0.11313994973897934
5,0,C intra-contrastive,val_unseen,0.7973958814294949,0.8123205251726433,0.744343891402715,0.7362637362637363,0.5627481761935543,28.774927139282227,0.6533308029174805,0.2571473717689514
5,0,D H&S inter+intra,val_seen,0.8575757575757575,0.8818030218828163,0.7981481481481482,0.8072390572390573,0.6882154882154882,2.766545295715332,0.6791334748268127,0.38776764273643494
5,0,D H&S inter+intra,val_unseen,0.7717240742450826,0.8150415812853289,0.6687136393018747,0.6687136393018747,0.5705051251269738,1.5789122581481934,0.6431223750114441,0.5043527483940125
5,1,A SAFE-LSTM faithful,val_seen,0.7643097643097643,0.7788037338524884,0.6498316498316499,0.689057239057239,0.6828282828282828,3.2221713066101074,0.8555726408958435,0.5723544359207153
5,1,A SAFE-LSTM faithful,val_unseen,0.6938775510204082,0.7665665016210342,0.5449256625727215,0.5843568196509373,0.6079970449718349,1.7150989770889282,0.9463029503822327,0.8563746213912964
