fold,seed,detector,task,auroc,n
2,0,SAFE-MLP [task-rel],0,0.4068678459937565,62
2,0,SAFE-MLP [task-rel],4,0.4986559139784946,79
2,0,SAFE-MLP [task-rel],6,0.6151515151515151,63
2,0,H&S,-1,0.8339479813664596,204
2,0,H&S,0,0.6888657648283039,62
2,0,H&S,4,0.894489247311828,79
2,0,H&S,6,0.9,63
2,0,H&S [task-rel],-1,0.7635869565217391,204
2,0,H&S [task-rel],0,0.5764828303850156,62
2,0,H&S [task-rel],4,0.790994623655914,79
2,0,H&S [task-rel],6,0.8717171717171717,63
2,0,SAFE-Embed,-1,0.7860054347826086,204
2,0,SAFE-Embed,0,0.72840790842872,62
2,0,SAFE-Embed,4,0.8118279569892473,79
2,0,SAFE-Embed,6,0.8565656565656565,63
2,0,SAFE-Embed [task-rel],-1,0.7378687888198758,204
2,0,SAFE-Embed [task-rel],0,0.668054110301769,62
2,0,SAFE-Embed [task-rel],4,0.7876344086021505,79
2,0,SAFE-Embed [task-rel],6,0.8595959595959596,63
2,0,hand:cum_mean_token_entropy,-1,0.6657608695652174,204
2,0,hand:cum_mean_token_entropy,0,0.5067637877211238,62
2,0,hand:cum_mean_token_entropy,4,0.7936827956989247,79
2,0,hand:cum_mean_token_entropy,6,0.7070707070707071,63
2,0,hand:cum_mean_token_entropy [task-rel],-1,0.5461956521739131,204
2,0,hand:cum_mean_token_entropy [task-rel],0,0.5192507804370448,62
2,0,hand:cum_mean_token_entropy [task-rel],4,0.49798387096774194,79
2,0,hand:cum_mean_token_entropy [task-rel],6,0.6232323232323232,63
2,0,hand:mean_token_entropy,-1,0.31948757763975155,204
2,0,hand:mean_token_entropy,0,0.5067637877211238,62
2,0,hand:mean_token_entropy,4,0.17876344086021506,79
2,0,hand:mean_token_entropy,6,0.2676767676767677,63
2,0,hand:mean_token_entropy [task-rel],-1,0.4746700310559006,204
2,0,hand:mean_token_entropy [task-rel],0,0.47762747138397504,62
2,0,hand:mean_token_entropy [task-rel],4,0.4825268817204301,79
2,0,hand:mean_token_entropy [task-rel],6,0.4727272727272727,63
2,0,hand:cum_max_token_entropy,-1,0.6463509316770186,204
2,0,hand:cum_max_token_entropy,0,0.4755463059313215,62
2,0,hand:cum_max_token_entropy,4,0.7956989247311828,79
2,0,hand:cum_max_token_entropy,6,0.6626262626262627,63
2,0,hand:cum_max_token_entropy [task-rel],-1,0.4796195652173913,204
2,0,hand:cum_max_token_entropy [task-rel],0,0.36524453694068676,62
2,0,hand:cum_max_token_entropy [task-rel],4,0.38306451612903225,79
2,0,hand:cum_max_token_entropy [task-rel],6,0.705050505050505,63
2,0,hand:cum_mean_token_prob,-1,0.4739906832298137,204
2,0,hand:cum_mean_token_prob,0,0.5057232049947971,62
2,0,hand:cum_mean_token_prob,4,0.4603494623655914,79
