fold,seed,detector,frac,auroc
0,1,SAFE-MLP [task-rel],0.2,0.45063821300358997
0,1,SAFE-MLP [task-rel],0.3,0.4416633426406063
0,1,SAFE-MLP [task-rel],0.4,0.42919824491424013
0,1,SAFE-MLP [task-rel],0.5,0.4444555245313123
0,1,SAFE-MLP [task-rel],0.6,0.45602313522138016
0,1,SAFE-MLP [task-rel],0.7,0.4711806940566414
0,1,SAFE-MLP [task-rel],0.8,0.4908256880733945
0,1,SAFE-MLP [task-rel],0.9,0.49670921420023934
0,1,SAFE-MLP [task-rel],1.0,0.5062824092540885
0,1,H&S,0.1,0.5454726765057838
0,1,H&S,0.2,0.48524132429198247
0,1,H&S,0.3,0.4824491424012764
0,1,H&S,0.4,0.5144595133625848
0,1,H&S,0.5,0.5506581571599521
0,1,H&S,0.6,0.5907459114479457
0,1,H&S,0.7,0.6283406461906661
0,1,H&S,0.8,0.6501794974072597
0,1,H&S,0.9,0.6489828480255285
0,1,H&S,1.0,0.6685281212604707
0,1,H&S [task-rel],0.1,0.5398883127243718
0,1,H&S [task-rel],0.2,0.48404467491025127
0,1,H&S [task-rel],0.3,0.47586757080175507
0,1,H&S [task-rel],0.4,0.4935181491822896
0,1,H&S [task-rel],0.5,0.5226366174710809
0,1,H&S [task-rel],0.6,0.5616274431591544
0,1,H&S [task-rel],0.7,0.5985241324291982
0,1,H&S [task-rel],0.8,0.6097925807738332
0,1,H&S [task-rel],0.9,0.6015157558835261
0,1,H&S [task-rel],1.0,0.6177702433187077
0,1,SAFE-Embed,0.1,0.45941364180295174
0,1,SAFE-Embed,0.2,0.40556441962504985
0,1,SAFE-Embed,0.3,0.4405664140406861
0,1,SAFE-Embed,0.4,0.46888711607499
0,1,SAFE-Embed,0.5,0.5317112086158755
0,1,SAFE-Embed,0.6,0.5971280414838452
0,1,SAFE-Embed,0.7,0.6585560430793778
0,1,SAFE-Embed,0.8,0.6907658556043079
0,1,SAFE-Embed,0.9,0.7278619864379737
0,1,SAFE-Embed,1.0,0.7680494615077782
0,1,SAFE-Embed [task-rel],0.1,0.4004786597526925
0,1,SAFE-Embed [task-rel],0.2,0.4268049461507778
